trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
4,0.5934937390218724,0.0002536105758543,6.608035496284996e-05,205,0.1238805333197649,adamw,0.9508617722507036
5,1.2037476962608775,0.0043779623627492,2.311311142237364e-05,156,0.4524397742161199,sgd,0.9163356648745112
6,1.077001588634046,0.0062425197523575,0.0007483877614985,143,0.3284038516999951,sgd,0.9017126972089172
7,1.215818859252125,0.0017686122589796,0.0002415452934266,19,0.2616452533108657,adamw,0.9897386797544
8,2.146157977318408,0.0013285314677483,0.001399553427204,21,0.127003161125676,sgd,0.9273170167289064
9,0.1074910208203083,2.198145692880469e-05,2.0451001550501066e-06,151,0.33035732532478,adamw,0.9112508727604816
10,0.4472889778657324,2.2536711735911163e-05,6.071492926949541e-06,194,0.2070832401836876,adamw,0.9359594006061348
11,0.3004622373248697,1.6909416599038378e-05,1.2384295660070788e-06,181,0.2382176615993615,adamw,0.9291904975550196
12,0.2647722858312277,1.2080887443104205e-05,1.0108775424515497e-06,175,0.3033629297595861,adamw,0.9000933240577208
13,0.2527092195600753,1.1048717650740444e-05,1.1496072592638926e-06,174,0.2967289441056774,adamw,0.9011962744810544
14,0.2162915224103141,4.280934483046961e-05,4.863721980208217e-06,168,0.3325796584086065,adamw,0.9033801972792198
15,0.119476457039895,5.387954824464701e-05,8.525961022471585e-06,111,0.3985308780401799,adamw,0.9121705638133482
16,0.1296579512877155,6.627455890559457e-05,9.240470370392688e-06,111,0.4151505084369049,adamw,0.9124031141178972
17,0.1718300422881722,6.45630704491581e-05,1.360006988618786e-05,105,0.4437396231604517,adamw,0.9226409313918528
18,0.1717238307736142,8.541315519222745e-05,1.213780839502899e-05,105,0.4430507678537865,adamw,0.9165992473861958
19,0.3954211199332628,0.0001009789946964,6.4596027727508586e-06,73,0.4027101454689994,adamw,0.9144550457242404
20,0.1596455793789589,0.0001012869643573,2.175860813447944e-05,127,0.4978971818843603,adamw,0.9153707360284858
21,0.1584564278196211,3.298455322779253e-05,3.140432714860658e-05,130,0.4973709359062513,adamw,0.9386917599840704
22,0.408699903705974,3.145528153558112e-05,4.667308514731521e-05,71,0.3891985108081666,adamw,0.9382002919357438
23,0.1515669070009228,0.0001400272687198,2.1993947920362803e-05,130,0.4867107749358516,adamw,0.910027062596034
24,0.1575785359087205,4.388497447303597e-05,4.580247079934677e-06,132,0.4929518824782857,adamw,0.9107247476314384
25,0.1116247934575116,0.000146667455614,3.298746325904333e-06,136,0.4216693022262056,adamw,0.908408511521036
26,0.1388323471036827,0.0001852527680506,2.816177414036348e-06,148,0.4116434040786181,adamw,0.908923159623544
27,1.1318680475738885,0.0001738866245747,2.69680365100678e-06,152,0.3710702546479013,adam,0.9223336677850388
28,0.1146799810690191,0.000166680142564,2.819505880304036e-06,121,0.4286939519969668,adamw,0.9085674183721696
29,0.113444630920594,0.0004578188880209,2.5721924028091984e-06,116,0.4118582226318459,adamw,0.9079500171959332
30,0.3016737127282155,0.0004561717186991,2.737498346975189e-06,84,0.4259459821832187,adamw,0.907431986405437
31,0.0856755658687104,0.0004311454687609,9.43799634241222e-06,115,0.360671070161972,adamw,0.9216267032843264
32,1.0882794004437688,0.0004788372651715,2.83954347739362e-06,115,0.3656623225410396,adam,0.9220313971590444
33,0.0800328985692515,0.0003139602754458,9.40083461386319e-06,118,0.3612963530522904,adamw,0.9083476916007862
34,0.0816680440819504,0.0007411387537829,1.8686544116041773e-06,117,0.3601246286521396,adamw,0.9065853064437286
35,0.1893671658191691,0.0008702136105316,1.863465269303457e-06,92,0.3405652595673519,adamw,0.9066615824835296
